nom,"nom de la région de patrimoine canadien, anglais","nom de la région de patrimoine canadien, français","nom de la province, anglais","nom de la province, français","nom de la région économique, anglais","nom de la région économique, français",latitude,longitude
name,"Canadian Heritage region name, english","Canadian Heritage region name, french","province name, english","province name, french","economic region name, english","economic region name, french",latitude,longitude
La Découverte de St-Sauveur,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.528391,-65.34713
Le coin des amis,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,48.009538,-66.485504
Le Domaine des copains,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.959369,-66.498476
Le Domaine Étudiant,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.77521,-65.721391
Mgr Mélanson,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.956097,-66.686261
Place-des-Jeunes,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.626909,-65.680199
Polyvalente A.-J.-Savoie,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.513577,-67.382783
Polyvalente Louis-Mailloux,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.781252,-64.900961
Polyvalente Marie-Esther,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.74097,-64.71755
Polyvalente Roland-Pépin,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,48.004781,-66.675781
Polyvalente W.-Arthur-Losier,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.49804,-64.949608
Séjour-Jeunesse,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.852761,-65.761596
Versant-Nord,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.987808,-66.72398
Carrefour de la Jeunesse,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.363867,-68.338239
Centre d'apprentissage du Haut-Madawaska,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.255763,-68.607727
Cité des Jeunes A.M.-Sormany,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.444418,-68.380176
École Ernest-Lang,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.340008,-68.655055
École Grande-Rivière,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.164073,-67.926597
École Marie-Immaculée,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.054162,-67.735155
École Mgr-Lang,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.037515,-67.686493
École Mgr-Matthieu-Mazerolle,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.316325,-68.141912
École Notre-Dame,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.372059,-68.324609
École Sainte-Anne,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.251078,-68.029225
École Saint-Jacques,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.429197,-68.387012
École Saint-Joseph,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.452317,-68.326236
Élémentaire Sacré-Coeur,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.034269,-67.737247
Polyvalente Thomas-Albert,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.055908,-67.731132
Régionale Saint-Basile,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.412133,-68.368084
Régionale-de-Saint-André,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.097826,-67.763573
École Arc-en-ciel,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.841548,-66.487689
École des Bâtisseurs,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.93955,-66.652523
École Sainte-Anne,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.93955,-66.652523
École Abbey-Landry,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,45.990156,-64.557035
École Amirault,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.06682,-64.709652
École Anna-Malenfant,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.085003,-64.719886
École Blanche-Bourgeois,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.311142,-64.640196
École Calixte-F.-Savoie,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.539194,-64.739484
École Camille-Vautour,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.359049,-64.744797
École Carrefour de l'Acadie,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.09762,-64.744195
École Champlain,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.110779,-64.767734
École Clément-Cormier,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.474389,-64.723679
École Donat-Robichaud,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.225462,-64.277515
École Dr-Marguerite-Michaud,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.470448,-64.725571
École Grande-Digue,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.311142,-64.640196
