nom,"nom de la râgion de patrimoine canadien, anglais","nom de la râgion de patrimoine canadien, franàais","nom de la province, anglais","nom de la province, franàais","nom de la râgion âconomique, anglais","nom de la râgion âconomique, franàais",latitude,longitude
name,"Canadian Heritage region name, english","Canadian Heritage region name, french","province name, english","province name, french","economic region name, english","economic region name, french",latitude,longitude
George Street Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.958828,-66.642184
Gibson-Neill Memorial Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,46.048428,-66.723306
Harold Peterson Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.842149,-66.483688
Harvey Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.729146,-67.004361
Harvey High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.695507,-66.957657
Hubbard Avenue Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.842126,-66.472797
Leo Hayes High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.975439,-66.624393
Liverpool Street Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.93215,-66.642523
Minto Memorial High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,46.076425,-66.060029
Nackawic Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.993084,-67.241529
